rowid,kepid,kepoi_name,kepler_name,koi_disposition,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_period,koi_impact,koi_duration,koi_depth,koi_prad,koi_teq,koi_insol
6293,6359929,K05269.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,371.506,0.0156,8.854,992,2.88,242,0.8
2257,11768142,K02626.01,Unknown,CANDIDATE,CANDIDATE,0.999,0,0,0,0,38.0971,0.953,4.307,913.3,1.58,242,0.81
318,10460629,K01168.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,856.672,0.1158,23.144,858.1,3.87,242,0.81
9268,9392016,K07935.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,350.652,0.004,7.976,248.1,1.31,243,0.83
6198,6116605,K05238.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,419.213,0.9597,6.385,2084,5.06,243,0.83
6128,5965629,K05216.01,Unknown,CANDIDATE,CANDIDATE,0.334,0,0,0,0,377.311,0.3818,3.33,804,2.56,243,0.83
3902,6599949,K04233.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,409.245,0.0176,13.06,531.2,2.1,244,0.84
6614,7123614,K05357.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.334,1,0,0,0,520.583,0.045,2.264,348,1.94,244,0.83
2617,3642335,K03010.01,Kepler-1410 b,CONFIRMED,CANDIDATE,0.996,0,0,0,0,60.8661,0.004,4.397,714.3,1.39,244,0.84
9430,7757698,K07848.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.207,1,0,0,0,369.182,0.021,3.239,913,2.6,245,0.85
9114,12252732,K08236.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0.008,1,0,0,0,595.782,0.164,15.97,84.9,1.18,245,0.85
5935,6443093,K05284.01,Unknown,CANDIDATE,CANDIDATE,0.957,0,0,0,0,389.316,1.202,5.49,2599.8,27.61,245,0.86
9414,9075882,K08175.01,Unknown,FALSE POSITIVE,FALSE POSITIVE,0,1,0,0,0,367.016,0.633,15.48,738.6,2.46,245,0.85
