rowid,kepoi_name,koi_period,koi_prad,koi_teq
2549,K02831.01,0.571941,1.053e-06,-1.053e-06
7728,K06420.01,0.57208,6.5e-08,-6.5e-08
5527,K07838.01,0.572514,7.271e-06,-7.271e-06
4733,K03204.01,0.572938,2.718e-06,-2.718e-06
7631,K06661.01,0.573036,4.2e-08,-4.2e-08
4539,K03250.01,0.573709,9.96e-07,-9.96e-07
9138,K08027.01,0.573763,6.951e-06,-6.951e-06
6270,K07857.01,0.575446,3.5205e-05,-3.5205e-05
2859,K02985.01,0.575884,8.36e-07,-8.36e-07
7115,K07867.01,0.575925,1.18e-07,-1.18e-07
717,K01251.01,0.576079,7.2e-08,-7.2e-08
7575,K06656.01,0.576272,3.5205e-05,-3.5205e-05
5867,K02974.01,0.576442,2.5e-06,-2.5e-06
8807,K06860.01,0.576732,5.071e-06,-5.071e-06
1981,K02409.01,0.577369,3.95e-07,-3.95e-07
8008,K07514.01,0.577844,7.61e-07,-7.61e-07
8317,K07583.01,0.577911,2.874e-06,-2.874e-06
7144,K07876.01,0.579108,8.41e-06,-8.41e-06
9475,K07860.01,0.579517,3.629e-06,-3.629e-06
4337,K04599.01,0.579771,5.48e-07,-5.48e-07
8922,K06926.01,0.580725,3.829e-06,-3.829e-06
4603,K04732.01,0.580725,2.536e-06,-2.536e-06
5202,K03913.01,0.582895,2.6e-07,-2.6e-07
4334,K04529.01,0.584148,1.604e-06,-1.604e-06
2530,K02897.01,0.58431,4.46e-07,-4.46e-07
8434,K07214.01,0.585941,4.35e-07,-4.35e-07
7814,K07089.01,0.586408,3.766e-06,-3.766e-06
4200,K04722.01,0.586757,1.637e-06,-1.637e-06
9282,K08157.01,0.5873,3.5205e-05,-3.5205e-05
2446,K02725.01,0.587471,9.21e-07,-9.21e-07
9379,K07350.01,0.587939,4.7e-08,-4.7e-08
1699,K02347.01,0.588001,5.82e-07,-5.82e-07
5811,K01769.01,0.589049,3.3e-08,-3.3e-08
3090,K00787.03,0.589377,6.484e-06,-6.484e-06
4252,K04512.01,0.589459,1.658e-06,-1.658e-06
8132,K07531.01,0.589753,1.701e-06,-1.701e-06
9320,K08058.01,0.590282,4.062e-06,-4.062e-06
2439,K02955.01,0.59128,1.335e-06,-1.335e-06
659,K01043.01,0.591915,4.62e-07,-4.62e-07
5803,K01631.01,0.592244,9e-08,-9e-08
4137,K04629.01,0.592563,6.69e-07,-6.69e-07
8907,K07570.01,0.592619,1.642e-06,-1.642e-06
8933,K07590.01,0.594004,1.975e-06,-1.975e-06
9529,K08090.01,0.594275,4.21e-07,-4.21e-07
8692,K03766.01,0.594276,1.52e-07,-1.52e-07
